0	Generic	NotDef	NOTDEF
755	Hangul	rB3	uniB310
756	Hangul	rB3	uniB311
757	Hangul	rB3	uniB313
758	Hangul	rB3	uniB314
759	Hangul	rB3	uniB315
760	Hangul	rB3	uniB316
761	Hangul	rB3	uniB31C
762	Hangul	rB3	uniB320
763	Hangul	rB3	uniB331
764	Hangul	rB3	uniB354
765	Hangul	rB3	uniB355
766	Hangul	rB3	uniB356
767	Hangul	rB3	uniB358
768	Hangul	rB3	uniB35B
769	Hangul	rB3	uniB35C
770	Hangul	rB3	uniB35E
771	Hangul	rB3	uniB35F
772	Hangul	rB3	uniB364
773	Hangul	rB3	uniB365
774	Hangul	rB3	uniB367
775	Hangul	rB3	uniB369
776	Hangul	rB3	uniB36B
777	Hangul	rB3	uniB36E
778	Hangul	rB3	uniB36F
779	Hangul	rB3	uniB370
780	Hangul	rB3	uniB371
781	Hangul	rB3	uniB374
782	Hangul	rB3	uniB378
783	Hangul	rB3	uniB380
784	Hangul	rB3	uniB381
785	Hangul	rB3	uniB383
786	Hangul	rB3	uniB384
787	Hangul	rB3	uniB385
788	Hangul	rB3	uniB38C
789	Hangul	rB3	uniB390
790	Hangul	rB3	uniB394
791	Hangul	rB3	uniB3A0
792	Hangul	rB3	uniB3A1
793	Hangul	rB3	uniB3A8
794	Hangul	rB3	uniB3AC
795	Hangul	rB3	uniB3C4
796	Hangul	rB3	uniB3C5
797	Hangul	rB3	uniB3C8
798	Hangul	rB3	uniB3CB
799	Hangul	rB3	uniB3CC
800	Hangul	rB3	uniB3CE
801	Hangul	rB3	uniB3D0
802	Hangul	rB3	uniB3D4
803	Hangul	rB3	uniB3D5
804	Hangul	rB3	uniB3D7
805	Hangul	rB3	uniB3D9
806	Hangul	rB3	uniB3DB
807	Hangul	rB3	uniB3DD
808	Hangul	rB3	uniB3E0
809	Hangul	rB3	uniB3E4
810	Hangul	rB3	uniB3E8
811	Hangul	rB3	uniB3FC
812	Hangul	rB4	uniB40F
813	Hangul	rB4	uniB410
814	Hangul	rB4	uniB418
815	Hangul	rB4	uniB41C
816	Hangul	rB4	uniB420
817	Hangul	rB4	uniB428
818	Hangul	rB4	uniB429
819	Hangul	rB4	uniB42B
820	Hangul	rB4	uniB42C
821	Hangul	rB4	uniB42D
